seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,0,MLP-FedProx-mu0.01,arm3,100,global,184,0.7989,0.8195,0.8654
0,0,MLP-FedProx-mu0.01,arm3,100,0,35,0.7714,0.7895,0.8355
0,0,MLP-FedProx-mu0.01,arm3,100,1,47,0.8085,0.8235,0.8225
0,0,MLP-FedProx-mu0.01,arm3,100,2,50,0.86,0.8727,0.9058
0,0,MLP-FedProx-mu0.01,arm3,100,3,52,0.75,0.7869,0.8803
0,0,MLP-FedProx-mu0.01,arm3,1.0,global,184,0.7935,0.8137,0.8663
0,0,MLP-FedProx-mu0.01,arm3,1.0,0,32,0.8125,0.8235,0.8984
0,0,MLP-FedProx-mu0.01,arm3,1.0,1,72,0.8056,0.8409,0.8436
0,0,MLP-FedProx-mu0.01,arm3,1.0,2,48,0.8125,0.8235,0.8677
0,0,MLP-FedProx-mu0.01,arm3,1.0,3,32,0.7188,0.7097,0.8988
0,0,MLP-FedProx-mu0.01,arm3,0.5,global,184,0.788,0.8152,0.8483
0,0,MLP-FedProx-mu0.01,arm3,0.5,0,62,0.7419,0.6364,0.8005
0,0,MLP-FedProx-mu0.01,arm3,0.5,1,69,0.8841,0.9355,0.9343
0,0,MLP-FedProx-mu0.01,arm3,0.5,2,33,0.697,0.6429,0.876
0,0,MLP-FedProx-mu0.01,arm3,0.5,3,20,0.75,0.6667,0.8571
0,0,MLP-FedProx-mu0.01,arm3,0.1,global,184,0.7065,0.7769,0.8502
0,0,MLP-FedProx-mu0.01,arm3,0.1,0,61,0.4262,0.0,nan
0,0,MLP-FedProx-mu0.01,arm3,0.1,1,100,0.93,0.9637,nan
0,0,MLP-FedProx-mu0.01,arm3,0.1,2,14,0.3571,0.0,nan
0,0,MLP-FedProx-mu0.01,arm3,0.1,3,9,0.6667,0.4,0.75
0,0,MLP-FedProx-mu0.01,arm3,natural,global,184,0.7772,0.796,0.8526
0,0,MLP-FedProx-mu0.01,arm3,natural,0,66,0.7879,0.75,0.8636
0,0,MLP-FedProx-mu0.01,arm3,natural,1,60,0.8333,0.8148,0.9365
0,0,MLP-FedProx-mu0.01,arm3,natural,2,22,0.7727,0.8649,0.625
0,0,MLP-FedProx-mu0.01,arm3,natural,3,36,0.6667,0.7778,0.6214
0,1,MLP-FedProx-mu0.01,arm3,100,global,184,0.7935,0.8304,0.8739
0,1,MLP-FedProx-mu0.01,arm3,100,0,37,0.6216,0.65,0.8274
0,1,MLP-FedProx-mu0.01,arm3,100,1,41,0.8293,0.8627,0.8995
0,1,MLP-FedProx-mu0.01,arm3,100,2,49,0.8571,0.8889,0.8897
0,1,MLP-FedProx-mu0.01,arm3,100,3,57,0.8246,0.8571,0.8951
0,1,MLP-FedProx-mu0.01,arm3,1.0,global,184,0.7989,0.8341,0.8745
0,1,MLP-FedProx-mu0.01,arm3,1.0,0,38,0.7368,0.7826,0.9417
0,1,MLP-FedProx-mu0.01,arm3,1.0,1,62,0.7581,0.8052,0.8294
0,1,MLP-FedProx-mu0.01,arm3,1.0,2,48,0.8958,0.9091,0.9441
0,1,MLP-FedProx-mu0.01,arm3,1.0,3,36,0.8056,0.8444,0.8514
0,1,MLP-FedProx-mu0.01,arm3,0.5,global,184,0.7772,0.821,0.8665
0,1,MLP-FedProx-mu0.01,arm3,0.5,0,57,0.6316,0.4878,0.7902
0,1,MLP-FedProx-mu0.01,arm3,0.5,1,75,0.92,0.9559,0.8971
0,1,MLP-FedProx-mu0.01,arm3,0.5,2,33,0.8485,0.8571,0.9741
0,1,MLP-FedProx-mu0.01,arm3,0.5,3,19,0.5263,0.4706,0.9
0,1,MLP-FedProx-mu0.01,arm3,0.1,global,184,0.7065,0.7857,0.8763
0,1,MLP-FedProx-mu0.01,arm3,0.1,0,59,0.3898,0.0,nan
0,1,MLP-FedProx-mu0.01,arm3,0.1,1,102,0.9706,0.9851,nan
0,1,MLP-FedProx-mu0.01,arm3,0.1,2,16,0.375,0.0,nan
0,1,MLP-FedProx-mu0.01,arm3,0.1,3,7,0.2857,0.0,nan
0,1,MLP-FedProx-mu0.01,arm3,natural,global,184,0.7717,0.8158,0.8695
0,1,MLP-FedProx-mu0.01,arm3,natural,0,64,0.7656,0.7619,0.8889
0,1,MLP-FedProx-mu0.01,arm3,natural,1,51,0.7059,0.6512,0.813
0,1,MLP-FedProx-mu0.01,arm3,natural,2,28,0.9286,0.963,0.8519
0,1,MLP-FedProx-mu0.01,arm3,natural,3,41,0.7561,0.8529,0.8194
0,2,MLP-FedProx-mu0.01,arm3,100,global,184,0.7174,0.732,0.8265
0,2,MLP-FedProx-mu0.01,arm3,100,0,37,0.7297,0.7059,0.8509
0,2,MLP-FedProx-mu0.01,arm3,100,1,53,0.7736,0.8125,0.872
0,2,MLP-FedProx-mu0.01,arm3,100,2,46,0.6087,0.5909,0.7562
0,2,MLP-FedProx-mu0.01,arm3,100,3,48,0.75,0.7692,0.8166
0,2,MLP-FedProx-mu0.01,arm3,1.0,global,184,0.7228,0.7385,0.8303
0,2,MLP-FedProx-mu0.01,arm3,1.0,0,42,0.7619,0.7917,0.8729
0,2,MLP-FedProx-mu0.01,arm3,1.0,1,72,0.7083,0.747,0.8228
0,2,MLP-FedProx-mu0.01,arm3,1.0,2,46,0.6522,0.619,0.7576
0,2,MLP-FedProx-mu0.01,arm3,1.0,3,24,0.8333,0.8182,0.9643
0,2,MLP-FedProx-mu0.01,arm3,0.5,global,184,0.75,0.785,0.8308
0,2,MLP-FedProx-mu0.01,arm3,0.5,0,60,0.7,0.5263,0.7807
0,2,MLP-FedProx-mu0.01,arm3,0.5,1,74,0.8108,0.8923,0.9375
0,2,MLP-FedProx-mu0.01,arm3,0.5,2,34,0.7353,0.7273,0.8755
0,2,MLP-FedProx-mu0.01,arm3,0.5,3,16,0.6875,0.6154,0.9792
0,2,MLP-FedProx-mu0.01,arm3,0.1,global,184,0.7283,0.7984,0.841
0,2,MLP-FedProx-mu0.01,arm3,0.1,0,64,0.4688,0.0,nan
0,2,MLP-FedProx-mu0.01,arm3,0.1,1,102,0.9706,0.9851,nan
0,2,MLP-FedProx-mu0.01,arm3,0.1,2,10,0.3,0.0,nan
0,2,MLP-FedProx-mu0.01,arm3,0.1,3,8,0.25,0.0,nan
0,2,MLP-FedProx-mu0.01,arm3,natural,global,184,0.7391,0.7624,0.83
0,2,MLP-FedProx-mu0.01,arm3,natural,0,54,0.7222,0.6939,0.831
0,2,MLP-FedProx-mu0.01,arm3,natural,1,67,0.7761,0.717,0.8612
0,2,MLP-FedProx-mu0.01,arm3,natural,2,21,0.9048,0.95,nan
0,2,MLP-FedProx-mu0.01,arm3,natural,3,42,0.619,0.7333,0.6321
0,3,MLP-FedProx-mu0.01,arm3,100,global,184,0.7663,0.7772,0.8505
0,3,MLP-FedProx-mu0.01,arm3,100,0,41,0.8049,0.8,0.8923
0,3,MLP-FedProx-mu0.01,arm3,100,1,49,0.7347,0.7234,0.7983
0,3,MLP-FedProx-mu0.01,arm3,100,2,44,0.75,0.8136,0.843
0,3,MLP-FedProx-mu0.01,arm3,100,3,50,0.78,0.766,0.8744
0,3,MLP-FedProx-mu0.01,arm3,1.0,global,184,0.7772,0.7919,0.85
0,3,MLP-FedProx-mu0.01,arm3,1.0,0,42,0.881,0.8936,0.9097
0,3,MLP-FedProx-mu0.01,arm3,1.0,1,76,0.75,0.7816,0.8258
0,3,MLP-FedProx-mu0.01,arm3,1.0,2,38,0.6842,0.7,0.8089
0,3,MLP-FedProx-mu0.01,arm3,1.0,3,28,0.8214,0.7826,0.9062
0,3,MLP-FedProx-mu0.01,arm3,0.5,global,184,0.788,0.8116,0.8446
0,3,MLP-FedProx-mu0.01,arm3,0.5,0,65,0.7692,0.6341,0.8627
0,3,MLP-FedProx-mu0.01,arm3,0.5,1,76,0.8158,0.8971,0.92
0,3,MLP-FedProx-mu0.01,arm3,0.5,2,28,0.7143,0.6667,0.8056
0,3,MLP-FedProx-mu0.01,arm3,0.5,3,15,0.8667,0.6667,1.0
0,3,MLP-FedProx-mu0.01,arm3,0.1,global,184,0.7337,0.795,0.848
0,3,MLP-FedProx-mu0.01,arm3,0.1,0,57,0.5263,0.0,nan
0,3,MLP-FedProx-mu0.01,arm3,0.1,1,103,0.932,0.9645,0.951
0,3,MLP-FedProx-mu0.01,arm3,0.1,2,16,0.3125,0.0,nan
0,3,MLP-FedProx-mu0.01,arm3,0.1,3,8,0.5,0.0,nan
0,3,MLP-FedProx-mu0.01,arm3,natural,global,184,0.7772,0.794,0.8499
