seed,fold,model,condition,round,mean_pairwise_l2
0,0,MLP-FedProx-mu0.01,100,0,0.151966
0,0,MLP-FedProx-mu0.01,100,1,0.125712
0,0,MLP-FedProx-mu0.01,100,2,0.123118
0,0,MLP-FedProx-mu0.01,100,3,0.142925
0,0,MLP-FedProx-mu0.01,100,4,0.176806
0,0,MLP-FedProx-mu0.01,100,5,0.211389
0,0,MLP-FedProx-mu0.01,100,6,0.237488
0,0,MLP-FedProx-mu0.01,100,7,0.255024
0,0,MLP-FedProx-mu0.01,100,8,0.263786
0,0,MLP-FedProx-mu0.01,100,9,0.268902
0,0,MLP-FedProx-mu0.01,100,10,0.269886
0,0,MLP-FedProx-mu0.01,100,11,0.270733
0,0,MLP-FedProx-mu0.01,100,12,0.26986
0,0,MLP-FedProx-mu0.01,100,13,0.269679
0,0,MLP-FedProx-mu0.01,100,14,0.268958
0,0,MLP-FedProx-mu0.01,100,15,0.268824
0,0,MLP-FedProx-mu0.01,100,16,0.268674
0,0,MLP-FedProx-mu0.01,100,17,0.268909
0,0,MLP-FedProx-mu0.01,100,18,0.26929
0,0,MLP-FedProx-mu0.01,100,19,0.269924
0,0,MLP-FedProx-mu0.01,1.0,0,0.230409
0,0,MLP-FedProx-mu0.01,1.0,1,0.206423
0,0,MLP-FedProx-mu0.01,1.0,2,0.209706
0,0,MLP-FedProx-mu0.01,1.0,3,0.224191
0,0,MLP-FedProx-mu0.01,1.0,4,0.247579
0,0,MLP-FedProx-mu0.01,1.0,5,0.282296
0,0,MLP-FedProx-mu0.01,1.0,6,0.315319
0,0,MLP-FedProx-mu0.01,1.0,7,0.332216
0,0,MLP-FedProx-mu0.01,1.0,8,0.338154
0,0,MLP-FedProx-mu0.01,1.0,9,0.338886
0,0,MLP-FedProx-mu0.01,1.0,10,0.337704
0,0,MLP-FedProx-mu0.01,1.0,11,0.335448
0,0,MLP-FedProx-mu0.01,1.0,12,0.333822
0,0,MLP-FedProx-mu0.01,1.0,13,0.331623
0,0,MLP-FedProx-mu0.01,1.0,14,0.330736
0,0,MLP-FedProx-mu0.01,1.0,15,0.329264
0,0,MLP-FedProx-mu0.01,1.0,16,0.328947
0,0,MLP-FedProx-mu0.01,1.0,17,0.328263
0,0,MLP-FedProx-mu0.01,1.0,18,0.32828
0,0,MLP-FedProx-mu0.01,1.0,19,0.328191
0,0,MLP-FedProx-mu0.01,0.5,0,0.86376
0,0,MLP-FedProx-mu0.01,0.5,1,0.756653
0,0,MLP-FedProx-mu0.01,0.5,2,0.697726
0,0,MLP-FedProx-mu0.01,0.5,3,0.690599
0,0,MLP-FedProx-mu0.01,0.5,4,0.708492
0,0,MLP-FedProx-mu0.01,0.5,5,0.717292
0,0,MLP-FedProx-mu0.01,0.5,6,0.721282
0,0,MLP-FedProx-mu0.01,0.5,7,0.723514
0,0,MLP-FedProx-mu0.01,0.5,8,0.723729
0,0,MLP-FedProx-mu0.01,0.5,9,0.718812
0,0,MLP-FedProx-mu0.01,0.5,10,0.710241
0,0,MLP-FedProx-mu0.01,0.5,11,0.700442
0,0,MLP-FedProx-mu0.01,0.5,12,0.691388
0,0,MLP-FedProx-mu0.01,0.5,13,0.68303
0,0,MLP-FedProx-mu0.01,0.5,14,0.675078
0,0,MLP-FedProx-mu0.01,0.5,15,0.667541
0,0,MLP-FedProx-mu0.01,0.5,16,0.660553
0,0,MLP-FedProx-mu0.01,0.5,17,0.654358
0,0,MLP-FedProx-mu0.01,0.5,18,0.649316
0,0,MLP-FedProx-mu0.01,0.5,19,0.645843
0,0,MLP-FedProx-mu0.01,0.1,0,1.001485
0,0,MLP-FedProx-mu0.01,0.1,1,1.065416
0,0,MLP-FedProx-mu0.01,0.1,2,1.191297
0,0,MLP-FedProx-mu0.01,0.1,3,1.270983
0,0,MLP-FedProx-mu0.01,0.1,4,1.315873
0,0,MLP-FedProx-mu0.01,0.1,5,1.263444
0,0,MLP-FedProx-mu0.01,0.1,6,0.947324
0,0,MLP-FedProx-mu0.01,0.1,7,1.138844
0,0,MLP-FedProx-mu0.01,0.1,8,1.074496
