arm,alpha,seed,f1,auroc,accuracy,rounds_to_converge,wall_clock_sec,n_qubits,circuit_depth
arm3,100,0,0.8195,0.8654,0.7989,20,0.0558,,
arm3,1.0,0,0.8137,0.8663,0.7935,20,0.054,,
arm3,0.5,0,0.8152,0.8483,0.788,20,0.0618,,
arm3,0.1,0,0.7769,0.8502,0.7065,20,0.0679,,
arm3,,0,0.796,0.8526,0.7772,20,0.0664,,
arm3,100,0,0.8304,0.8739,0.7935,20,0.0592,,
arm3,1.0,0,0.8341,0.8745,0.7989,20,0.0557,,
arm3,0.5,0,0.821,0.8665,0.7772,20,0.069,,
arm3,0.1,0,0.7857,0.8763,0.7065,20,0.1049,,
arm3,,0,0.8158,0.8695,0.7717,20,0.0754,,
arm3,100,0,0.732,0.8265,0.7174,20,0.0714,,
arm3,1.0,0,0.7385,0.8303,0.7228,20,0.0682,,
arm3,0.5,0,0.785,0.8308,0.75,20,0.0603,,
arm3,0.1,0,0.7984,0.841,0.7283,20,0.0576,,
arm3,,0,0.7624,0.83,0.7391,20,0.0559,,
arm3,100,0,0.7772,0.8505,0.7663,20,0.0567,,
arm3,1.0,0,0.7919,0.85,0.7772,20,0.0589,,
arm3,0.5,0,0.8116,0.8446,0.788,20,0.0556,,
arm3,0.1,0,0.795,0.848,0.7337,20,0.0548,,
arm3,,0,0.794,0.8499,0.7772,20,0.0575,,
arm3,100,0,0.7853,0.8343,0.7772,20,0.0497,,
arm3,1.0,0,0.7716,0.8325,0.7554,20,0.055,,
arm3,0.5,0,0.7839,0.8209,0.7663,20,0.0581,,
arm3,0.1,0,0.7818,0.8195,0.7391,20,0.0581,,
arm3,,0,0.7982,0.8262,0.7609,20,0.0628,,
arm3,100,1,0.78,0.8329,0.7609,20,0.052,,
arm3,1.0,1,0.7926,0.837,0.7554,20,0.0587,,
arm3,0.5,1,0.8,0.837,0.7663,20,0.0534,,
arm3,0.1,1,0.7088,0.7921,0.5489,20,0.0613,,
arm3,,1,0.8018,0.8314,0.7609,20,0.0523,,
arm3,100,1,0.78,0.8231,0.7609,20,0.0517,,
arm3,1.0,1,0.7773,0.8324,0.7228,20,0.059,,
arm3,0.5,1,0.8056,0.8269,0.7717,20,0.0577,,
arm3,0.1,1,0.7133,0.8094,0.5543,20,0.0556,,
arm3,,1,0.7773,0.8358,0.7228,20,0.0564,,
arm3,100,1,0.8276,0.8731,0.8098,20,0.0565,,
arm3,1.0,1,0.8295,0.8736,0.7989,20,0.0525,,
arm3,0.5,1,0.8476,0.8692,0.8261,20,0.0571,,
arm3,0.1,1,0.7133,0.7983,0.5543,20,0.0541,,
arm3,,1,0.8426,0.8651,0.8152,20,0.0566,,
arm3,100,1,0.8037,0.8344,0.7663,20,0.0494,,
arm3,1.0,1,0.8018,0.8271,0.7663,20,0.0561,,
arm3,0.5,1,0.7692,0.8246,0.7391,20,0.0554,,
arm3,0.1,1,0.7133,0.8122,0.5543,20,0.0556,,
arm3,,1,0.7926,0.8271,0.7554,20,0.0567,,
arm3,100,1,0.7653,0.87,0.75,20,0.0571,,
arm3,1.0,1,0.8178,0.8675,0.7772,20,0.0553,,
arm3,0.5,1,0.8073,0.8682,0.7717,20,0.0568,,
arm3,0.1,1,0.7133,0.7787,0.5543,20,0.0601,,
arm3,,1,0.8288,0.8742,0.7935,20,0.0585,,
arm3,100,2,0.8095,0.8575,0.7826,20,0.0537,,
arm3,1.0,2,0.8077,0.8564,0.7826,20,0.0568,,
arm3,0.5,2,0.7882,0.8414,0.7663,20,0.0605,,
arm3,0.1,2,0.7838,0.8295,0.7391,20,0.053,,
arm3,,2,0.7946,0.8498,0.75,20,0.0596,,
arm3,100,2,0.802,0.8644,0.7826,20,0.0652,,
arm3,1.0,2,0.8077,0.8691,0.7826,20,0.057,,
arm3,0.5,2,0.7843,0.8656,0.7609,20,0.0562,,
arm3,0.1,2,0.6914,0.8387,0.7283,20,0.059,,
arm3,,2,0.8073,0.8712,0.7717,20,0.0643,,
arm3,100,2,0.7716,0.841,0.7554,20,0.062,,
arm3,1.0,2,0.7822,0.8447,0.7609,20,0.0531,,
arm3,0.5,2,0.7684,0.8338,0.7609,20,0.0579,,
arm3,0.1,2,0.7525,0.8179,0.7283,20,0.0554,,
arm3,,2,0.7653,0.8413,0.75,20,0.0559,,
arm3,100,2,0.8079,0.865,0.788,20,0.057,,
arm3,1.0,2,0.8195,0.8625,0.7989,20,0.0593,,
arm3,0.5,2,0.79,0.857,0.7717,20,0.0543,,
arm3,0.1,2,0.8273,0.8497,0.7935,20,0.0532,,
arm3,,2,0.8485,0.8674,0.8098,20,0.0543,,
arm3,100,2,0.7839,0.8455,0.7663,20,0.0574,,
arm3,1.0,2,0.8195,0.8468,0.7989,20,0.0566,,
arm3,0.5,2,0.7755,0.8264,0.7609,20,0.0597,,
arm3,0.1,2,0.8091,0.833,0.7717,20,0.0565,,
arm3,,2,0.7919,0.8459,0.7772,20,0.0625,,
arm3,100,3,0.7981,0.8304,0.7663,20,0.0517,,
arm3,1.0,3,0.7449,0.8294,0.7283,20,0.0575,,
arm3,0.5,3,0.7423,0.8337,0.7283,20,0.0545,,
arm3,0.1,3,0.7312,0.8245,0.7283,20,0.0615,,
arm3,,3,0.738,0.8319,0.7337,20,0.0529,,
arm3,100,3,0.8053,0.8411,0.7609,20,0.0561,,
arm3,1.0,3,0.7885,0.8417,0.7609,20,0.0549,,
arm3,0.5,3,0.7962,0.8341,0.7663,20,0.0532,,
arm3,0.1,3,0.7826,0.8277,0.7554,20,0.054,,
arm3,,3,0.8106,0.8345,0.7663,20,0.0566,,
arm3,100,3,0.819,0.8485,0.7935,20,0.0652,,
arm3,1.0,3,0.8213,0.8484,0.7989,20,0.0512,,
arm3,0.5,3,0.8152,0.8517,0.788,20,0.058,,
arm3,0.1,3,0.8081,0.8576,0.7935,20,0.066,,
arm3,,3,0.823,0.8501,0.7989,20,0.065,,
arm3,100,3,0.7761,0.8365,0.7554,20,0.0574,,
arm3,1.0,3,0.7723,0.8351,0.75,20,0.0578,,
arm3,0.5,3,0.77,0.8355,0.75,20,0.0601,,
arm3,0.1,3,0.7551,0.8267,0.7391,20,0.0563,,
arm3,,3,0.7805,0.8327,0.7554,20,0.0678,,
arm3,100,3,0.8257,0.8718,0.7935,20,0.0558,,
arm3,1.0,3,0.8186,0.8729,0.788,20,0.0594,,
arm3,0.5,3,0.8038,0.8629,0.7772,20,0.0675,,
arm3,0.1,3,0.8,0.8582,0.7826,20,0.0537,,
arm3,,3,0.8214,0.8666,0.7826,20,0.054,,
arm3,100,4,0.8203,0.8674,0.788,20,0.0523,,
arm3,1.0,4,0.8057,0.8591,0.7772,20,0.0543,,
arm3,0.5,4,0.798,0.8604,0.7772,20,0.0554,,
arm3,0.1,4,0.7791,0.8699,0.7011,20,0.0549,,
arm3,,4,0.8178,0.8662,0.7772,20,0.053,,
arm3,100,4,0.7835,0.847,0.7717,20,0.0501,,
arm3,1.0,4,0.806,0.8404,0.788,20,0.0561,,
arm3,0.5,4,0.8119,0.8479,0.7935,20,0.0567,,
arm3,0.1,4,0.625,0.8042,0.6739,20,0.0608,,
arm3,,4,0.7854,0.8442,0.7446,20,0.0489,,
arm3,100,4,0.796,0.8549,0.7772,20,0.0612,,
arm3,1.0,4,0.7885,0.8491,0.7609,20,0.0613,,
arm3,0.5,4,0.7941,0.8472,0.7717,20,0.0697,,
arm3,0.1,4,0.8142,0.8437,0.7717,20,0.0545,,
arm3,,4,0.794,0.8429,0.7772,20,0.0578,,
arm3,100,4,0.7653,0.8488,0.75,20,0.0569,,
arm3,1.0,4,0.7653,0.8496,0.75,20,0.056,,
arm3,0.5,4,0.7629,0.8486,0.75,20,0.0558,,
arm3,0.1,4,0.5789,0.793,0.6522,20,0.0537,,
arm3,,4,0.8072,0.8515,0.7663,20,0.0546,,
arm3,100,4,0.7423,0.8396,0.7283,20,0.054,,
arm3,1.0,4,0.7767,0.8275,0.75,20,0.0629,,
arm3,0.5,4,0.8075,0.8315,0.7772,20,0.0787,,
arm3,0.1,4,0.8111,0.8258,0.7772,20,0.0711,,
arm3,,4,0.7944,0.8185,0.7609,20,0.0571,,
arm3,100,5,0.756,0.8186,0.7228,20,0.0563,,
arm3,1.0,5,0.7586,0.8091,0.7337,20,0.0563,,
arm3,0.5,5,0.7464,0.7994,0.712,20,0.0533,,
arm3,0.1,5,0.7513,0.7943,0.7337,20,0.0545,,
arm3,,5,0.7751,0.8126,0.7446,20,0.057,,
arm3,100,5,0.7745,0.8655,0.75,20,0.0545,,
arm3,1.0,5,0.8364,0.8755,0.8043,20,0.0616,,
arm3,0.5,5,0.8057,0.8679,0.7772,20,0.0539,,
arm3,0.1,5,0.8141,0.868,0.7989,20,0.0655,,
arm3,,5,0.8079,0.8704,0.788,20,0.0541,,
arm3,100,5,0.8019,0.8515,0.7717,20,0.0571,,
arm3,1.0,5,0.7907,0.8465,0.7554,20,0.0622,,
arm3,0.5,5,0.7874,0.8672,0.7065,20,0.0567,,
arm3,0.1,5,0.7638,0.8451,0.7446,20,0.0529,,
arm3,,5,0.8037,0.8488,0.7663,20,0.062,,
arm3,100,5,0.81,0.8476,0.7935,20,0.0657,,
arm3,1.0,5,0.8279,0.8411,0.7989,20,0.0576,,
arm3,0.5,5,0.8034,0.8266,0.75,20,0.0577,,
arm3,0.1,5,0.8,0.8447,0.7826,20,0.0607,,
arm3,,5,0.802,0.8312,0.7826,20,0.0608,,
arm3,100,5,0.8128,0.836,0.7772,20,0.0655,,
arm3,1.0,5,0.8019,0.8424,0.7772,20,0.0595,,
arm3,0.5,5,0.7923,0.8458,0.7663,20,0.0621,,
arm3,0.1,5,0.7905,0.8235,0.7609,20,0.0578,,
arm3,,5,0.7614,0.8312,0.7446,20,0.0556,,
arm3,100,6,0.7861,0.8287,0.7663,20,0.06,,
arm3,1.0,6,0.7755,0.8256,0.7609,20,0.0519,,
arm3,0.5,6,0.8186,0.8281,0.788,20,0.0561,,
arm3,0.1,6,0.7861,0.8294,0.7663,20,0.05,,
arm3,,6,0.8198,0.8229,0.7826,20,0.0546,,
arm3,100,6,0.7701,0.8385,0.7663,20,0.0551,,
arm3,1.0,6,0.7928,0.8391,0.75,20,0.0561,,
arm3,0.5,6,0.7565,0.8349,0.7446,20,0.0546,,
arm3,0.1,6,0.7541,0.8346,0.7554,20,0.0545,,
arm3,,6,0.8111,0.8414,0.7772,20,0.0567,,
arm3,100,6,0.8174,0.8783,0.7717,20,0.0555,,
arm3,1.0,6,0.7447,0.8587,0.7391,20,0.0569,,
arm3,0.5,6,0.7981,0.8661,0.7663,20,0.0573,,
arm3,0.1,6,0.796,0.8734,0.7772,20,0.0545,,
arm3,,6,0.798,0.8691,0.7772,20,0.0518,,
arm3,100,6,0.7839,0.8595,0.7663,20,0.0497,,
arm3,1.0,6,0.7805,0.8523,0.7554,20,0.0506,,
arm3,0.5,6,0.7778,0.8527,0.7391,20,0.0513,,
arm3,0.1,6,0.8085,0.8637,0.7554,20,0.0627,,
arm3,,6,0.8194,0.8564,0.7772,20,0.0654,,
arm3,100,6,0.759,0.8248,0.7446,20,0.0594,,
arm3,1.0,6,0.7761,0.8294,0.7554,20,0.0556,,
arm3,0.5,6,0.8057,0.8333,0.7772,20,0.0548,,
arm3,0.1,6,0.7644,0.8244,0.7554,20,0.054,,
arm3,,6,0.8,0.8295,0.7663,20,0.0533,,
arm3,100,7,0.7604,0.8211,0.75,20,0.0528,,
arm3,1.0,7,0.7685,0.8254,0.7283,20,0.0509,,
arm3,0.5,7,0.7624,0.8245,0.7391,20,0.0508,,
arm3,0.1,7,0.7629,0.815,0.75,20,0.0535,,
arm3,,7,0.7763,0.822,0.7337,20,0.0535,,
arm3,100,7,0.8205,0.8906,0.8098,20,0.0549,,
arm3,1.0,7,0.8241,0.8916,0.8098,20,0.051,,
