arm,alpha,seed,f1,auroc,accuracy,rounds_to_converge,wall_clock_sec,n_qubits,circuit_depth
arm3,0.5,7,0.8205,0.8887,0.8098,20,0.0511,,
arm3,0.1,7,0.8205,0.8879,0.8098,20,0.0524,,
arm3,,7,0.8163,0.8835,0.8043,20,0.0607,,
arm3,100,7,0.802,0.8485,0.7826,20,0.0694,,
arm3,1.0,7,0.798,0.8476,0.7826,20,0.0536,,
arm3,0.5,7,0.7835,0.851,0.7717,20,0.0545,,
arm3,0.1,7,0.7772,0.8398,0.7663,20,0.0552,,
arm3,,7,0.8387,0.8562,0.8098,20,0.057,,
arm3,100,7,0.7805,0.8572,0.7554,20,0.0549,,
arm3,1.0,7,0.8203,0.8561,0.788,20,0.0515,,
arm3,0.5,7,0.7778,0.8529,0.7609,20,0.0547,,
arm3,0.1,7,0.7885,0.863,0.7609,20,0.0528,,
arm3,,7,0.8125,0.8524,0.7717,20,0.0526,,
arm3,100,7,0.7803,0.8189,0.7337,20,0.0586,,
arm3,1.0,7,0.7793,0.8217,0.7446,20,0.0607,,
arm3,0.5,7,0.7962,0.8175,0.7663,20,0.0596,,
arm3,0.1,7,0.7788,0.8247,0.7283,20,0.0591,,
arm3,,7,0.7647,0.8145,0.7391,20,0.0576,,
arm3,100,8,0.7944,0.8221,0.7609,20,0.0557,,
arm3,1.0,8,0.7812,0.8176,0.7717,20,0.0543,,
arm3,0.5,8,0.7778,0.8141,0.7609,20,0.05,,
arm3,0.1,8,0.659,0.8073,0.6793,20,0.054,,
arm3,,8,0.7867,0.8157,0.7554,20,0.0534,,
arm3,100,8,0.8214,0.8788,0.7826,20,0.0552,,
arm3,1.0,8,0.7788,0.8741,0.75,20,0.053,,
arm3,0.5,8,0.8219,0.8721,0.788,20,0.0556,,
arm3,0.1,8,0.827,0.8656,0.7772,20,0.0537,,
arm3,,8,0.7941,0.8682,0.7717,20,0.0524,,
arm3,100,8,0.796,0.8517,0.7772,20,0.049,,
arm3,1.0,8,0.7982,0.8521,0.7554,20,0.0549,,
arm3,0.5,8,0.8148,0.8523,0.7826,20,0.055,,
arm3,0.1,8,0.7391,0.838,0.7391,20,0.0639,,
arm3,,8,0.8039,0.8523,0.7826,20,0.0842,,
arm3,100,8,0.7892,0.8098,0.7446,20,0.0866,,
arm3,1.0,8,0.7474,0.8024,0.7391,20,0.0834,,
arm3,0.5,8,0.7662,0.8045,0.7446,20,0.1668,,
arm3,0.1,8,0.7191,0.8054,0.5924,20,0.0921,,
arm3,,8,0.7358,0.79,0.7228,20,0.0829,,
arm3,100,8,0.8416,0.8849,0.8098,20,0.0592,,
arm3,1.0,8,0.8279,0.8801,0.7989,20,0.0574,,
arm3,0.5,8,0.8269,0.8835,0.8043,20,0.066,,
arm3,0.1,8,0.7684,0.861,0.7609,20,0.0571,,
arm3,,8,0.8134,0.8835,0.788,20,0.0608,,
arm3,100,9,0.794,0.8712,0.7772,20,0.0516,,
arm3,1.0,9,0.7857,0.8676,0.7717,20,0.0536,,
arm3,0.5,9,0.7979,0.8607,0.7935,20,0.0509,,
arm3,0.1,9,0.7857,0.8596,0.7717,20,0.0554,,
arm3,,9,0.794,0.8604,0.7772,20,0.0529,,
arm3,100,9,0.8286,0.8758,0.8043,20,0.052,,
arm3,1.0,9,0.8261,0.8714,0.7826,20,0.049,,
arm3,0.5,9,0.82,0.8623,0.8043,20,0.0598,,
arm3,0.1,9,0.8269,0.8668,0.8043,20,0.0509,,
arm3,,9,0.8276,0.8694,0.8098,20,0.06,,
arm3,100,9,0.7614,0.8417,0.7446,20,0.1087,,
arm3,1.0,9,0.7368,0.8276,0.7283,20,0.094,,
arm3,0.5,9,0.7423,0.8278,0.7283,20,0.1095,,
arm3,0.1,9,0.7925,0.8306,0.7609,20,0.0851,,
arm3,,9,0.8304,0.8294,0.7935,20,0.0718,,
arm3,100,9,0.7624,0.8005,0.7391,20,0.0697,,
arm3,1.0,9,0.7642,0.809,0.7283,20,0.0703,,
arm3,0.5,9,0.7263,0.7962,0.7174,20,0.0766,,
arm3,0.1,9,0.7525,0.8133,0.7283,20,0.0506,,
arm3,,9,0.7841,0.8113,0.7337,20,0.058,,
arm3,100,9,0.8019,0.8724,0.7717,20,0.0686,,
arm3,1.0,9,0.7861,0.8625,0.7663,20,0.0588,,
arm3,0.5,9,0.7541,0.8624,0.7554,20,0.0517,,
arm3,0.1,9,0.802,0.8595,0.7826,20,0.0544,,
arm3,,9,0.794,0.8657,0.7772,20,0.056,,
arm3,100,0,0.8137,0.8654,0.7935,20,0.0512,,
arm3,1.0,0,0.8137,0.8665,0.7935,20,0.0748,,
arm3,0.5,0,0.8152,0.8481,0.788,20,0.0747,,
arm3,0.1,0,0.7303,0.8435,0.7391,20,0.0609,,
arm3,,0,0.8,0.8524,0.7826,20,0.0548,,
arm3,100,0,0.8304,0.8736,0.7935,20,0.0625,,
arm3,1.0,0,0.8288,0.8739,0.7935,20,0.0525,,
arm3,0.5,0,0.8246,0.8669,0.7826,20,0.0693,,
arm3,0.1,0,0.7752,0.8774,0.6848,20,0.0528,,
arm3,,0,0.8194,0.8694,0.7772,20,0.0584,,
arm3,100,0,0.732,0.8266,0.7174,20,0.0516,,
arm3,1.0,0,0.7513,0.8305,0.7337,20,0.0524,,
arm3,0.5,0,0.7678,0.8311,0.7337,20,0.0506,,
arm3,0.1,0,0.8122,0.8369,0.7663,20,0.0539,,
arm3,,0,0.76,0.8295,0.7391,20,0.0553,,
arm3,100,0,0.7835,0.8505,0.7717,20,0.052,,
arm3,1.0,0,0.7919,0.8499,0.7772,20,0.0623,,
arm3,0.5,0,0.8116,0.8449,0.788,20,0.0579,,
arm3,0.1,0,0.7839,0.8316,0.7663,20,0.0629,,
arm3,,0,0.794,0.85,0.7772,20,0.0727,,
arm3,100,0,0.7812,0.8338,0.7717,20,0.0867,,
arm3,1.0,0,0.7716,0.8318,0.7554,20,0.0802,,
arm3,0.5,0,0.78,0.8198,0.7609,20,0.075,,
arm3,0.1,0,0.7624,0.8118,0.7391,20,0.0714,,
arm3,,0,0.7982,0.8259,0.7609,20,0.092,,
arm3,100,1,0.78,0.8323,0.7609,20,0.0648,,
arm3,1.0,1,0.7926,0.8365,0.7554,20,0.0542,,
arm3,0.5,1,0.7962,0.8371,0.7663,20,0.0559,,
arm3,0.1,1,0.7088,0.792,0.5489,20,0.0629,,
arm3,,1,0.8018,0.8307,0.7609,20,0.074,,
arm3,100,1,0.7841,0.8267,0.7337,20,0.0619,,
arm3,1.0,1,0.7807,0.8324,0.7283,20,0.0622,,
arm3,0.5,1,0.8056,0.8273,0.7717,20,0.055,,
arm3,0.1,1,0.7133,0.8092,0.5543,20,0.059,,
arm3,,1,0.7807,0.8349,0.7283,20,0.0551,,
arm3,100,1,0.8218,0.8733,0.8043,20,0.0539,,
arm3,1.0,1,0.8295,0.8735,0.7989,20,0.0538,,
arm3,0.5,1,0.8309,0.8693,0.8098,20,0.0555,,
arm3,0.1,1,0.7133,0.7985,0.5543,20,0.0586,,
arm3,,1,0.8426,0.8669,0.8152,20,0.0543,,
arm3,100,1,0.8037,0.8345,0.7663,20,0.0552,,
arm3,1.0,1,0.7963,0.827,0.7609,20,0.054,,
arm3,0.5,1,0.7692,0.8245,0.7391,20,0.0538,,
arm3,0.1,1,0.7133,0.8101,0.5543,20,0.0537,,
arm3,,1,0.787,0.8263,0.75,20,0.0559,,
arm3,100,1,0.759,0.8696,0.7446,20,0.0529,,
arm3,1.0,1,0.8178,0.867,0.7772,20,0.053,,
arm3,0.5,1,0.8018,0.8682,0.7663,20,0.0539,,
arm3,0.1,1,0.7133,0.7785,0.5543,20,0.0536,,
arm3,,1,0.8182,0.8739,0.7826,20,0.0541,,
arm3,100,2,0.8095,0.8576,0.7826,20,0.0533,,
arm3,1.0,2,0.8038,0.8567,0.7772,20,0.0531,,
arm3,0.5,2,0.796,0.8421,0.7772,20,0.0519,,
arm3,0.1,2,0.7803,0.8302,0.7337,20,0.0564,,
arm3,,2,0.7911,0.8499,0.7446,20,0.0616,,
arm3,100,2,0.794,0.8638,0.7772,20,0.0652,,
arm3,1.0,2,0.8077,0.8693,0.7826,20,0.0559,,
arm3,0.5,2,0.7921,0.8646,0.7717,20,0.0567,,
arm3,0.1,2,0.7964,0.8602,0.7554,20,0.055,,
arm3,,2,0.8073,0.8717,0.7717,20,0.0537,,
arm3,100,2,0.7755,0.8409,0.7609,20,0.0505,,
arm3,1.0,2,0.7822,0.8442,0.7609,20,0.0526,,
arm3,0.5,2,0.7527,0.832,0.75,20,0.0552,,
arm3,0.1,2,0.7729,0.8184,0.7446,20,0.05,,
arm3,,2,0.7962,0.8381,0.7663,20,0.0502,,
arm3,100,2,0.8079,0.8648,0.788,20,0.0526,,
arm3,1.0,2,0.8213,0.8626,0.7989,20,0.0563,,
arm3,0.5,2,0.7919,0.8571,0.7772,20,0.0546,,
arm3,0.1,2,0.8333,0.8504,0.7935,20,0.0551,,
arm3,,2,0.8472,0.8669,0.8098,20,0.0536,,
arm3,100,2,0.7839,0.8455,0.7663,20,0.0518,,
arm3,1.0,2,0.8195,0.8468,0.7989,20,0.0557,,
arm3,0.5,2,0.7732,0.8263,0.7609,20,0.0487,,
arm3,0.1,2,0.7773,0.8338,0.7228,20,0.0609,,
arm3,,2,0.7879,0.8458,0.7717,20,0.0554,,
arm3,100,3,0.7944,0.8305,0.7609,20,0.051,,
arm3,1.0,3,0.7449,0.8291,0.7283,20,0.0543,,
arm3,0.5,3,0.7423,0.8344,0.7283,20,0.0545,,
arm3,0.1,3,0.7312,0.8246,0.7283,20,0.062,,
arm3,,3,0.7459,0.8318,0.7446,20,0.0542,,
arm3,100,3,0.7761,0.839,0.7554,20,0.0554,,
arm3,1.0,3,0.7885,0.8416,0.7609,20,0.0572,,
arm3,0.5,3,0.7943,0.8345,0.7663,20,0.0538,,
arm3,0.1,3,0.7826,0.828,0.7554,20,0.0566,,
arm3,,3,0.8106,0.8349,0.7663,20,0.0547,,
arm3,100,3,0.8134,0.8483,0.788,20,0.0557,,
arm3,1.0,3,0.8213,0.8479,0.7989,20,0.0545,,
arm3,0.5,3,0.8134,0.8516,0.788,20,0.052,,
arm3,0.1,3,0.804,0.8578,0.788,20,0.0523,,
arm3,,3,0.8152,0.8508,0.788,20,0.0546,,
arm3,100,3,0.77,0.8354,0.75,20,0.0543,,
arm3,1.0,3,0.7723,0.8347,0.75,20,0.0503,,
arm3,0.5,3,0.77,0.8351,0.75,20,0.0573,,
arm3,0.1,3,0.7551,0.8267,0.7391,20,0.0514,,
arm3,,3,0.7805,0.8328,0.7554,20,0.0522,,
arm3,100,3,0.8257,0.8716,0.7935,20,0.0523,,
arm3,1.0,3,0.8186,0.873,0.788,20,0.0546,,
arm3,0.5,3,0.8038,0.8629,0.7772,20,0.0518,,
arm3,0.1,3,0.8,0.8574,0.7826,20,0.0569,,
arm3,,3,0.8142,0.8676,0.7717,20,0.0566,,
arm3,100,4,0.8203,0.8678,0.788,20,0.0572,,
arm3,1.0,4,0.8116,0.8584,0.788,20,0.057,,
arm3,0.5,4,0.8057,0.86,0.7772,20,0.0578,,
arm3,0.1,4,0.6982,0.8227,0.7228,20,0.0661,,
arm3,,4,0.8019,0.858,0.7772,20,0.0612,,
arm3,100,4,0.7835,0.8467,0.7717,20,0.0557,,
arm3,1.0,4,0.7919,0.8405,0.7772,20,0.0566,,
arm3,0.5,4,0.8155,0.8479,0.7935,20,0.0545,,
arm3,0.1,4,0.755,0.8368,0.6685,20,0.0527,,
arm3,,4,0.7926,0.8439,0.7554,20,0.0545,,
arm3,100,4,0.8186,0.8565,0.788,20,0.0552,,
arm3,1.0,4,0.7923,0.8479,0.7663,20,0.0527,,
arm3,0.5,4,0.7981,0.8471,0.7717,20,0.0524,,
arm3,0.1,4,0.7885,0.8354,0.7609,20,0.0566,,
arm3,,4,0.8161,0.8491,0.7772,20,0.062,,
arm3,100,4,0.7653,0.8486,0.75,20,0.0535,,
arm3,1.0,4,0.7692,0.8486,0.7554,20,0.0532,,
arm3,0.5,4,0.7653,0.8485,0.75,20,0.0508,,
arm3,0.1,4,0.5789,0.8071,0.6522,20,0.0541,,
arm3,,4,0.8072,0.8515,0.7663,20,0.0551,,
arm3,100,4,0.7423,0.8388,0.7283,20,0.0558,,
arm3,1.0,4,0.7745,0.8274,0.75,20,0.053,,
arm3,0.5,4,0.8093,0.8313,0.7772,20,0.0577,,
arm3,0.1,4,0.8103,0.8253,0.7609,20,0.0515,,
arm3,,4,0.7944,0.8185,0.7609,20,0.0505,,
arm3,100,5,0.756,0.8183,0.7228,20,0.0519,,
arm3,1.0,5,0.7586,0.8085,0.7337,20,0.0546,,
arm3,0.5,5,0.6347,0.7872,0.6685,20,0.0543,,
arm3,0.1,5,0.7104,0.8021,0.712,20,0.0514,,
arm3,,5,0.7692,0.8122,0.7391,20,0.0509,,
arm3,100,5,0.7822,0.8657,0.7609,20,0.0546,,
arm3,1.0,5,0.8364,0.8772,0.8043,20,0.0552,,
arm3,0.5,5,0.8198,0.87,0.7826,20,0.0553,,
arm3,0.1,5,0.8276,0.8678,0.8098,20,0.0523,,
arm3,,5,0.796,0.8702,0.7772,20,0.0535,,
arm3,100,5,0.8019,0.8511,0.7717,20,0.0494,,
arm3,1.0,5,0.7963,0.847,0.7609,20,0.0537,,
arm3,0.5,5,0.7913,0.8538,0.7391,20,0.0544,,
arm3,0.1,5,0.7562,0.8422,0.7337,20,0.0547,,
arm3,,5,0.8037,0.8486,0.7663,20,0.0532,,
arm3,100,5,0.81,0.8472,0.7935,20,0.0572,,
arm3,1.0,5,0.8095,0.8385,0.7826,20,0.0557,,
arm3,0.5,5,0.8161,0.8369,0.7772,20,0.0553,,
arm3,0.1,5,0.804,0.8453,0.788,20,0.0556,,
arm3,,5,0.8161,0.8327,0.7772,20,0.0522,,
arm3,100,5,0.8073,0.8358,0.7717,20,0.061,,
arm3,1.0,5,0.7843,0.8424,0.7609,20,0.0556,,
arm3,0.5,5,0.8037,0.84,0.7717,20,0.0607,,
arm3,0.1,5,0.7926,0.8313,0.7554,20,0.0555,,
arm3,,5,0.8145,0.8364,0.7772,20,0.0524,,
arm3,100,6,0.8235,0.8272,0.788,20,0.0504,,
arm3,1.0,6,0.7739,0.8283,0.7554,20,0.0548,,
arm3,0.5,6,0.8263,0.8288,0.7989,20,0.0498,,
arm3,0.1,6,0.7861,0.8292,0.7663,20,0.0583,,
arm3,,6,0.7783,0.8213,0.7554,20,0.0522,,
arm3,100,6,0.7964,0.8438,0.7554,20,0.0604,,
arm3,1.0,6,0.8058,0.8363,0.7826,20,0.0545,,
arm3,0.5,6,0.7513,0.834,0.7446,20,0.0529,,
arm3,0.1,6,0.7541,0.8354,0.7554,20,0.0491,,
arm3,,6,0.8111,0.8404,0.7772,20,0.0544,,
arm3,100,6,0.8174,0.8775,0.7717,20,0.055,,
arm3,1.0,6,0.7579,0.8589,0.75,20,0.0528,,
arm3,0.5,6,0.8038,0.8655,0.7772,20,0.0551,,
arm3,0.1,6,0.8,0.8733,0.7826,20,0.0527,,
arm3,,6,0.7941,0.8685,0.7717,20,0.0532,,
arm3,100,6,0.7839,0.8587,0.7663,20,0.0519,,
arm3,1.0,6,0.7826,0.852,0.7554,20,0.0586,,
arm3,0.5,6,0.785,0.8522,0.75,20,0.0519,,
arm3,0.1,6,0.8085,0.8641,0.7554,20,0.0536,,
arm3,,6,0.7861,0.8473,0.7663,20,0.0532,,
arm3,100,6,0.7565,0.8248,0.7446,20,0.0504,,
arm3,1.0,6,0.7839,0.8278,0.7663,20,0.0374,,
arm3,0.5,6,0.8038,0.8323,0.7772,20,0.0514,,
arm3,0.1,6,0.7644,0.824,0.7554,20,0.0525,,
arm3,,6,0.7708,0.8171,0.7609,20,0.053,,
arm3,100,7,0.7604,0.8205,0.75,20,0.0509,,
arm3,1.0,7,0.7742,0.8256,0.7337,20,0.0519,,
