seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,3,weak-MLP,arm2,100,global,184,0.7391,0.7876,0.822
0,3,weak-MLP,arm2,100,0,41,0.8537,0.8636,0.878
0,3,weak-MLP,arm2,100,1,49,0.6939,0.7273,0.79
0,3,weak-MLP,arm2,100,2,44,0.8409,0.9014,0.8044
0,3,weak-MLP,arm2,100,3,50,0.6,0.6429,0.818
0,3,weak-MLP,arm2,1.0,global,184,0.7391,0.7876,0.822
0,3,weak-MLP,arm2,1.0,0,42,0.881,0.898,0.9051
0,3,weak-MLP,arm2,1.0,1,76,0.7895,0.8431,0.8324
0,3,weak-MLP,arm2,1.0,2,38,0.5789,0.6522,0.7147
0,3,weak-MLP,arm2,1.0,3,28,0.6071,0.6207,0.7969
0,3,weak-MLP,arm2,0.5,global,184,0.7391,0.7876,0.822
0,3,weak-MLP,arm2,0.5,0,65,0.7077,0.5778,0.8213
0,3,weak-MLP,arm2,0.5,1,76,0.8947,0.9437,0.9467
0,3,weak-MLP,arm2,0.5,2,28,0.5,0.5,0.7222
0,3,weak-MLP,arm2,0.5,3,15,0.5333,0.3636,0.9615
0,3,weak-MLP,arm2,0.1,global,184,0.7391,0.7876,0.822
0,3,weak-MLP,arm2,0.1,0,57,0.614,0.0,nan
0,3,weak-MLP,arm2,0.1,1,103,0.8641,0.9271,0.8627
0,3,weak-MLP,arm2,0.1,2,16,0.5,0.0,nan
0,3,weak-MLP,arm2,0.1,3,8,0.5,0.0,nan
0,3,weak-MLP,arm2,natural,global,184,0.7391,0.7876,0.822
0,3,weak-MLP,arm2,natural,0,56,0.625,0.6667,0.7407
0,3,weak-MLP,arm2,natural,1,66,0.7576,0.7037,0.8762
0,3,weak-MLP,arm2,natural,2,24,0.875,0.9333,0.8636
0,3,weak-MLP,arm2,natural,3,38,0.7895,0.875,0.6771
0,4,weak-MLP,arm2,100,global,184,0.7391,0.7913,0.8137
0,4,weak-MLP,arm2,100,0,36,0.7778,0.8261,0.9016
0,4,weak-MLP,arm2,100,1,44,0.7727,0.8276,0.859
0,4,weak-MLP,arm2,100,2,55,0.7455,0.7879,0.7971
0,4,weak-MLP,arm2,100,3,49,0.6735,0.7333,0.7642
0,4,weak-MLP,arm2,1.0,global,184,0.7391,0.7913,0.8137
0,4,weak-MLP,arm2,1.0,0,39,0.8205,0.8679,0.9528
0,4,weak-MLP,arm2,1.0,1,65,0.7692,0.8276,0.7866
0,4,weak-MLP,arm2,1.0,2,54,0.7037,0.7333,0.7486
0,4,weak-MLP,arm2,1.0,3,26,0.6154,0.6667,0.8061
0,4,weak-MLP,arm2,0.5,global,184,0.7391,0.7913,0.8137
0,4,weak-MLP,arm2,0.5,0,59,0.678,0.5957,0.8121
0,4,weak-MLP,arm2,0.5,1,74,0.8919,0.9412,0.8592
0,4,weak-MLP,arm2,0.5,2,34,0.6471,0.6471,0.7536
0,4,weak-MLP,arm2,0.5,3,17,0.4706,0.3077,0.7333
0,4,weak-MLP,arm2,0.1,global,184,0.7391,0.7913,0.8137
0,4,weak-MLP,arm2,0.1,0,60,0.5833,0.0,nan
0,4,weak-MLP,arm2,0.1,1,102,0.8922,0.943,nan
0,4,weak-MLP,arm2,0.1,2,13,0.5385,0.0,nan
0,4,weak-MLP,arm2,0.1,3,9,0.3333,0.0,nan
0,4,weak-MLP,arm2,natural,global,184,0.7391,0.7913,0.8137
0,4,weak-MLP,arm2,natural,0,63,0.6508,0.6333,0.7739
0,4,weak-MLP,arm2,natural,1,50,0.66,0.6792,0.8227
