seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,0,MLP,arm2,0.1,1,100,0.96,0.9796,nan
0,0,MLP,arm2,0.1,2,14,0.2857,0.0,nan
0,0,MLP,arm2,0.1,3,9,0.5556,0.3333,0.75
0,0,MLP,arm2,natural,global,184,0.7772,0.796,0.8524
0,0,MLP,arm2,natural,0,66,0.7879,0.75,0.8636
0,0,MLP,arm2,natural,1,60,0.8333,0.8148,0.9365
0,0,MLP,arm2,natural,2,22,0.7727,0.8649,0.625
0,0,MLP,arm2,natural,3,36,0.6667,0.7778,0.6214
0,1,LR,arm1,,global,184,0.7935,0.8304,0.8725
0,1,LR,arm1,100,0,37,0.6216,0.65,0.8304
0,1,LR,arm1,100,1,41,0.8537,0.88,0.8946
0,1,LR,arm1,100,2,49,0.8776,0.9062,0.8842
0,1,LR,arm1,100,3,57,0.7895,0.8286,0.8938
0,1,LR,arm1,1.0,0,38,0.7368,0.7826,0.9361
0,1,LR,arm1,1.0,1,62,0.7903,0.8312,0.835
0,1,LR,arm1,1.0,2,48,0.875,0.8889,0.9458
0,1,LR,arm1,1.0,3,36,0.75,0.8085,0.8545
0,1,LR,arm1,0.5,0,57,0.6667,0.5128,0.7885
0,1,LR,arm1,0.5,1,75,0.9067,0.9481,0.9086
0,1,LR,arm1,0.5,2,33,0.8788,0.8824,0.9704
0,1,LR,arm1,0.5,3,19,0.5789,0.5,0.9167
0,1,LR,arm1,0.1,0,59,0.678,0.0,nan
0,1,LR,arm1,0.1,1,102,0.9118,0.9538,nan
0,1,LR,arm1,0.1,2,16,0.5,0.0,nan
0,1,LR,arm1,0.1,3,7,0.7143,0.0,nan
0,1,LR,arm1,natural,0,64,0.8281,0.8197,0.9087
0,1,LR,arm1,natural,1,51,0.7255,0.6667,0.8111
0,1,LR,arm1,natural,2,28,0.8929,0.9434,0.8889
0,1,LR,arm1,natural,3,41,0.7561,0.8529,0.7708
