arm,alpha,seed,f1,auroc,accuracy,rounds_to_converge,wall_clock_sec,n_qubits,circuit_depth
arm4,100,0,0.7173,0.7159,0.6359,,834.89,6,3
arm4,100,0,0.7544,0.7489,0.6957,,834.96,6,3
arm4,100,0,0.7521,0.7123,0.6848,,835.57,6,3
arm4,100,0,0.7064,0.6939,0.625,,838.03,6,3
arm4,100,1,0.7843,0.7881,0.7609,,792.0,6,3
arm4,100,1,0.7642,0.7989,0.7283,,797.07,6,3
arm4,100,0,0.733,0.7223,0.6793,,799.22,6,3
arm4,100,1,0.7455,0.7867,0.6957,,801.08,6,3
arm4,100,1,0.7512,0.7996,0.712,,441.75,6,3
arm4,100,2,0.7757,0.8388,0.7391,,432.87,6,3
arm4,100,2,0.7545,0.8125,0.7065,,439.12,6,3
arm4,100,1,0.7905,0.8692,0.7609,,442.57,6,3
arm4,100,2,0.7343,0.775,0.7011,,392.67,6,3
arm4,100,2,0.757,0.8202,0.7174,,392.1,6,3
arm4,100,2,0.7389,0.7664,0.712,,390.39,6,3
arm4,100,3,0.7401,0.7209,0.6793,,392.6,6,3
arm4,100,3,0.6888,0.6528,0.5924,,466.09,6,3
arm4,100,3,0.7117,0.7102,0.6522,,470.28,6,3
arm4,100,3,0.7168,0.7166,0.6522,,464.93,6,3
arm4,100,3,0.7679,0.7038,0.7011,,467.99,6,3
arm4,100,4,0.7944,0.8352,0.7609,,413.56,6,3
arm4,100,4,0.8116,0.8525,0.788,,414.86,6,3
arm4,100,4,0.7843,0.8363,0.7609,,417.18,6,3
arm4,100,4,0.8037,0.8267,0.7717,,424.27,6,3
arm4,100,4,0.8,0.803,0.7717,,420.38,6,3
arm4,100,5,0.7477,0.8014,0.7065,,425.45,6,3
arm4,100,5,0.7545,0.8151,0.7065,,426.13,6,3
arm4,100,5,0.7353,0.7674,0.7065,,428.05,6,3
arm4,100,5,0.7404,0.7692,0.7065,,402.12,6,3
arm4,100,6,0.7411,0.7128,0.6848,,390.61,6,3
arm4,100,5,0.7064,0.7379,0.6522,,392.54,6,3
arm4,100,6,0.7455,0.7349,0.6957,,397.26,6,3
arm4,100,6,0.7163,0.7072,0.6685,,392.75,6,3
arm4,100,7,0.7885,0.8544,0.7609,,389.22,6,3
arm4,100,6,0.75,0.7534,0.6848,,396.9,6,3
arm4,100,6,0.7349,0.7632,0.6902,,398.51,6,3
arm4,100,7,0.7981,0.8532,0.7717,,395.6,6,3
arm4,100,7,0.8,0.8506,0.7772,,401.19,6,3
arm4,100,7,0.7981,0.8214,0.7663,,399.37,6,3
arm4,100,7,0.789,0.7748,0.75,,399.26,6,3
arm4,100,8,0.8075,0.8453,0.7772,,522.36,6,3
arm4,100,8,0.7636,0.8073,0.7174,,525.18,6,3
arm4,100,8,0.7343,0.7644,0.7011,,533.82,6,3
arm4,100,8,0.756,0.7896,0.7228,,536.47,6,3
arm4,100,8,0.8374,0.8588,0.8207,,538.03,6,3
arm4,100,9,0.7281,0.7757,0.663,,540.38,6,3
arm4,100,9,0.75,0.7749,0.7065,,533.93,6,3
arm4,100,9,0.7558,0.7954,0.712,,539.83,6,3
arm4,100,9,0.7184,0.7692,0.6848,,551.74,6,3
arm4,100,9,0.8137,0.8453,0.7935,,550.59,6,3
arm4,1.0,0,0.719,0.7118,0.6304,,546.46,6,3
arm4,1.0,0,0.7059,0.695,0.6196,,555.06,6,3
arm4,1.0,0,0.7479,0.7101,0.6739,,539.29,6,3
arm4,1.0,0,0.7297,0.7213,0.6739,,544.12,6,3
arm4,1.0,0,0.7511,0.7483,0.6902,,548.54,6,3
arm4,1.0,1,0.7633,0.7967,0.7337,,541.48,6,3
arm4,1.0,1,0.7788,0.8055,0.75,,558.01,6,3
arm4,1.0,1,0.756,0.8197,0.7228,,557.03,6,3
arm4,1.0,1,0.7723,0.7868,0.75,,561.93,6,3
arm4,1.0,1,0.8252,0.8798,0.8043,,555.34,6,3
arm4,1.0,2,0.7602,0.8104,0.712,,541.1,6,3
arm4,1.0,2,0.77,0.8312,0.7337,,539.75,6,3
