seed,fold,model,condition,round,mean_pairwise_l2
0,0,VQC,0.1,0,0.611929
0,0,VQC,0.1,1,0.598459
0,0,VQC,0.1,2,0.576575
0,0,VQC,0.1,3,0.546991
0,0,VQC,0.1,4,0.512624
0,0,VQC,0.1,5,0.477094
0,0,VQC,0.1,6,0.443572
0,0,VQC,0.1,7,0.41421
0,0,VQC,0.1,8,0.389781
0,0,VQC,0.1,9,0.370018
0,0,VQC,0.1,10,0.354246
0,0,VQC,0.1,11,0.341762
0,0,VQC,0.1,12,0.331932
0,0,VQC,0.1,13,0.3242
0,0,VQC,0.1,14,0.318075
0,0,VQC,0.1,15,0.313118
0,0,VQC,0.1,16,0.30895
0,0,VQC,0.1,17,0.305248
0,0,VQC,0.1,18,0.301758
0,0,VQC,0.1,19,0.298295
0,1,VQC,0.1,0,0.623462
0,1,VQC,0.1,1,0.610377
0,1,VQC,0.1,2,0.589829
0,1,VQC,0.1,3,0.561255
0,1,VQC,0.1,4,0.526548
0,1,VQC,0.1,5,0.489244
0,1,VQC,0.1,6,0.452697
0,1,VQC,0.1,7,0.419415
0,1,VQC,0.1,8,0.390817
0,1,VQC,0.1,9,0.367295
0,1,VQC,0.1,10,0.348562
0,1,VQC,0.1,11,0.334018
0,1,VQC,0.1,12,0.322971
0,1,VQC,0.1,13,0.31474
0,1,VQC,0.1,14,0.308702
0,1,VQC,0.1,15,0.304312
0,1,VQC,0.1,16,0.301099
0,1,VQC,0.1,17,0.298663
0,1,VQC,0.1,18,0.296663
0,1,VQC,0.1,19,0.294815
0,2,VQC,0.1,0,0.597858
0,2,VQC,0.1,1,0.585528
0,2,VQC,0.1,2,0.56601
0,2,VQC,0.1,3,0.540096
0,2,VQC,0.1,4,0.509911
0,2,VQC,0.1,5,0.478135
0,2,VQC,0.1,6,0.44718
0,2,VQC,0.1,7,0.418759
0,2,VQC,0.1,8,0.393813
0,2,VQC,0.1,9,0.372652
0,2,VQC,0.1,10,0.355165
0,2,VQC,0.1,11,0.340989
0,2,VQC,0.1,12,0.329626
0,2,VQC,0.1,13,0.320538
0,2,VQC,0.1,14,0.313207
0,2,VQC,0.1,15,0.307162
0,2,VQC,0.1,16,0.302001
0,2,VQC,0.1,17,0.29739
0,2,VQC,0.1,18,0.293075
0,2,VQC,0.1,19,0.288878
0,3,VQC,0.1,0,0.619777
0,3,VQC,0.1,1,0.600154
0,3,VQC,0.1,2,0.570979
0,3,VQC,0.1,3,0.534457
0,3,VQC,0.1,4,0.49435
0,3,VQC,0.1,5,0.45518
0,3,VQC,0.1,6,0.420287
0,3,VQC,0.1,7,0.390972
0,3,VQC,0.1,8,0.367164
