seed,fold,model,condition,round,mean_pairwise_l2
1,1,VQC-circmean,0.1,0,0.659629
1,1,VQC-circmean,0.1,1,0.635268
1,1,VQC-circmean,0.1,2,0.602786
1,1,VQC-circmean,0.1,3,0.564606
1,1,VQC-circmean,0.1,4,0.522902
1,1,VQC-circmean,0.1,5,0.481266
1,1,VQC-circmean,0.1,6,0.442621
1,1,VQC-circmean,0.1,7,0.408752
1,1,VQC-circmean,0.1,8,0.380215
1,1,VQC-circmean,0.1,9,0.356649
1,1,VQC-circmean,0.1,10,0.337273
1,1,VQC-circmean,0.1,11,0.321231
1,1,VQC-circmean,0.1,12,0.307775
1,1,VQC-circmean,0.1,13,0.296322
1,1,VQC-circmean,0.1,14,0.286483
1,1,VQC-circmean,0.1,15,0.278068
1,1,VQC-circmean,0.1,16,0.271029
1,1,VQC-circmean,0.1,17,0.265335
1,1,VQC-circmean,0.1,18,0.260874
1,1,VQC-circmean,0.1,19,0.257465
1,2,VQC-circmean,0.1,0,0.627089
1,2,VQC-circmean,0.1,1,0.605583
1,2,VQC-circmean,0.1,2,0.575729
1,2,VQC-circmean,0.1,3,0.542969
1,2,VQC-circmean,0.1,4,0.507005
1,2,VQC-circmean,0.1,5,0.469681
1,2,VQC-circmean,0.1,6,0.433479
1,2,VQC-circmean,0.1,7,0.400642
1,2,VQC-circmean,0.1,8,0.372368
1,2,VQC-circmean,0.1,9,0.348729
1,2,VQC-circmean,0.1,10,0.329224
1,2,VQC-circmean,0.1,11,0.31322
1,2,VQC-circmean,0.1,12,0.300093
1,2,VQC-circmean,0.1,13,0.289241
1,2,VQC-circmean,0.1,14,0.280065
1,2,VQC-circmean,0.1,15,0.272083
1,2,VQC-circmean,0.1,16,0.265159
1,2,VQC-circmean,0.1,17,0.259471
1,2,VQC-circmean,0.1,18,0.255114
1,2,VQC-circmean,0.1,19,0.251936
1,3,VQC-circmean,0.1,0,0.658835
1,3,VQC-circmean,0.1,1,0.628579
1,3,VQC-circmean,0.1,2,0.587428
1,3,VQC-circmean,0.1,3,0.544274
1,3,VQC-circmean,0.1,4,0.500633
1,3,VQC-circmean,0.1,5,0.459057
1,3,VQC-circmean,0.1,6,0.421709
1,3,VQC-circmean,0.1,7,0.38973
1,3,VQC-circmean,0.1,8,0.363177
1,3,VQC-circmean,0.1,9,0.341403
1,3,VQC-circmean,0.1,10,0.3235
1,3,VQC-circmean,0.1,11,0.308575
1,3,VQC-circmean,0.1,12,0.295901
1,3,VQC-circmean,0.1,13,0.284993
1,3,VQC-circmean,0.1,14,0.275643
1,3,VQC-circmean,0.1,15,0.267869
1,3,VQC-circmean,0.1,16,0.261719
1,3,VQC-circmean,0.1,17,0.257103
1,3,VQC-circmean,0.1,18,0.253779
