arm,alpha,seed,f1,auroc,accuracy,rounds_to_converge,wall_clock_sec,n_qubits,circuit_depth
arm5,1.0,9,0.7558,0.7999,0.712,,410.76,6,3
arm5,1.0,9,0.7324,0.7547,0.6902,,414.25,6,3
arm5,1.0,9,0.7059,0.7621,0.6739,,412.7,6,3
arm5,1.0,9,0.8019,0.841,0.7772,,411.47,6,3
arm5,0.5,0,0.7177,0.5373,0.6196,,415.32,6,3
arm5,0.5,0,0.72,0.5817,0.6196,,412.76,6,3
arm5,0.5,0,0.7619,0.571,0.6739,,421.53,6,3
arm5,0.5,0,0.7407,0.6462,0.6576,,411.5,6,3
arm5,0.5,0,0.7426,0.6205,0.6685,,411.47,6,3
arm5,0.5,1,0.7488,0.7982,0.712,,414.57,6,3
arm5,0.5,1,0.7826,0.8056,0.7554,,411.75,6,3
arm5,0.5,1,0.7723,0.7886,0.75,,416.4,6,3
arm5,0.5,1,0.756,0.8106,0.7228,,413.45,6,3
arm5,0.5,1,0.8269,0.8779,0.8043,,409.65,6,3
arm5,0.5,2,0.7671,0.8118,0.7228,,410.77,6,3
arm5,0.5,2,0.785,0.8321,0.75,,408.93,6,3
arm5,0.5,2,0.7379,0.7695,0.7065,,418.93,6,3
arm5,0.5,2,0.757,0.8173,0.7174,,415.79,6,3
arm5,0.5,2,0.7512,0.7668,0.7228,,409.91,6,3
arm5,0.5,3,0.7256,0.7596,0.6793,,422.1,6,3
arm5,0.5,3,0.6937,0.7138,0.6304,,416.84,6,3
arm5,0.5,3,0.7706,0.78,0.7283,,415.68,6,3
arm5,0.5,3,0.7248,0.7303,0.6739,,420.16,6,3
arm5,0.5,3,0.7196,0.7371,0.6739,,411.29,6,3
arm5,0.5,4,0.8037,0.8211,0.7717,,417.12,6,3
arm5,0.5,4,0.7882,0.8363,0.7663,,417.5,6,3
arm5,0.5,4,0.8116,0.8512,0.788,,420.17,6,3
arm5,0.5,4,0.7944,0.8325,0.7609,,421.31,6,3
arm5,0.5,4,0.8,0.803,0.7717,,418.87,6,3
arm5,0.5,5,0.7246,0.7837,0.6902,,414.03,6,3
arm5,0.5,5,0.7535,0.8039,0.712,,414.64,6,3
arm5,0.5,5,0.767,0.8156,0.7391,,417.25,6,3
arm5,0.5,5,0.7379,0.7681,0.7065,,415.38,6,3
arm5,0.5,6,0.7289,0.7305,0.6685,,410.05,6,3
arm5,0.5,5,0.7097,0.7382,0.6576,,413.82,6,3
arm5,0.5,6,0.7345,0.7059,0.6739,,420.84,6,3
arm5,0.5,6,0.7542,0.7423,0.6848,,417.21,6,3
arm5,0.5,6,0.7163,0.705,0.6685,,408.14,6,3
arm5,0.5,6,0.758,0.7558,0.712,,415.25,6,3
arm5,0.5,7,0.7923,0.8535,0.7663,,412.58,6,3
arm5,0.5,7,0.7923,0.8499,0.7663,,414.09,6,3
arm5,0.5,7,0.8039,0.8492,0.7826,,415.67,6,3
arm5,0.5,7,0.7887,0.8197,0.7554,,416.58,6,3
arm5,0.5,7,0.789,0.7703,0.75,,418.38,6,3
arm5,0.5,8,0.8075,0.8458,0.7772,,417.33,6,3
arm5,0.5,8,0.7636,0.8057,0.7174,,421.5,6,3
arm5,0.5,8,0.756,0.7892,0.7228,,422.02,6,3
arm5,0.5,8,0.7317,0.7618,0.7011,,422.38,6,3
arm5,0.5,8,0.8293,0.8554,0.8098,,419.99,6,3
arm5,0.5,9,0.7615,0.8015,0.7174,,418.03,6,3
arm5,0.5,9,0.7523,0.7911,0.7065,,410.54,6,3
arm5,0.5,9,0.7358,0.7478,0.6957,,416.26,6,3
arm5,0.5,9,0.6995,0.7572,0.6685,,414.95,6,3
arm5,0.1,0,0.6727,0.6639,0.6087,,412.7,6,3
arm5,0.5,9,0.7788,0.8301,0.75,,418.01,6,3
arm5,0.1,0,0.7319,0.6524,0.6576,,414.17,6,3
arm5,0.1,0,0.7289,0.7006,0.6685,,419.13,6,3
arm5,0.1,0,0.7019,0.7085,0.663,,415.48,6,3
arm5,0.1,0,0.7373,0.7249,0.6902,,413.07,6,3
arm5,0.1,1,0.7524,0.7935,0.7174,,415.28,6,3
arm5,0.1,1,0.7619,0.7926,0.7283,,415.29,6,3
arm5,0.1,1,0.7685,0.7722,0.7446,,408.96,6,3
arm5,0.1,1,0.756,0.8042,0.7228,,409.27,6,3
arm5,0.1,1,0.7923,0.8698,0.7663,,410.95,6,3
arm5,0.1,2,0.7615,0.8072,0.7174,,408.78,6,3
arm5,0.1,2,0.7463,0.7672,0.7228,,408.4,6,3
arm5,0.1,2,0.7793,0.8246,0.7446,,415.02,6,3
arm5,0.1,2,0.7736,0.8145,0.7391,,406.22,6,3
arm5,0.1,2,0.7512,0.7708,0.7228,,411.78,6,3
arm5,0.1,3,0.7299,0.764,0.6902,,410.32,6,3
arm5,0.1,3,0.6941,0.719,0.6359,,411.75,6,3
arm5,0.1,3,0.7248,0.7241,0.6739,,410.04,6,3
arm5,0.1,3,0.7628,0.786,0.7228,,411.41,6,3
arm5,0.1,3,0.717,0.737,0.6739,,412.64,6,3
arm5,0.1,4,0.7923,0.8125,0.7663,,419.07,6,3
arm5,0.1,4,0.7755,0.8266,0.7609,,415.57,6,3
arm5,0.1,4,0.8038,0.8363,0.7772,,415.12,6,3
arm5,0.1,4,0.7535,0.8091,0.712,,416.75,6,3
arm5,0.1,4,0.7624,0.7863,0.7391,,418.97,6,3
arm5,0.1,5,0.7343,0.78,0.7011,,420.93,6,3
arm5,0.1,5,0.757,0.8072,0.7174,,418.99,6,3
arm5,0.1,5,0.7707,0.811,0.7446,,416.63,6,3
arm5,0.1,5,0.7317,0.7654,0.7011,,418.7,6,3
arm5,0.1,5,0.7097,0.7374,0.6576,,420.44,6,3
arm5,0.1,6,0.7289,0.7313,0.6685,,418.62,6,3
arm5,0.1,6,0.7378,0.7067,0.6793,,411.83,6,3
arm5,0.1,6,0.75,0.748,0.6848,,412.71,6,3
arm5,0.1,6,0.7163,0.7049,0.6685,,414.26,6,3
arm5,0.1,6,0.758,0.7551,0.712,,414.62,6,3
arm5,0.1,7,0.7923,0.8539,0.7663,,424.94,6,3
arm5,0.1,7,0.7923,0.8498,0.7663,,420.14,6,3
arm5,0.1,7,0.8,0.8503,0.7772,,416.44,6,3
arm5,0.1,7,0.7887,0.8202,0.7554,,422.18,6,3
arm5,0.1,7,0.789,0.7727,0.75,,412.6,6,3
arm5,0.1,8,0.8075,0.8419,0.7772,,410.86,6,3
arm5,0.1,8,0.7387,0.7615,0.6848,,412.27,6,3
arm5,0.1,8,0.7273,0.7724,0.6902,,406.83,6,3
arm5,0.1,8,0.6952,0.7301,0.6522,,408.19,6,3
arm5,0.1,8,0.7736,0.8163,0.7391,,408.28,6,3
arm5,0.1,9,0.7257,0.7782,0.663,,409.13,6,3
arm5,0.1,9,0.7431,0.7914,0.6957,,411.55,6,3
arm5,0.1,9,0.7358,0.764,0.6957,,415.99,6,3
arm5,0.1,9,0.6961,0.761,0.663,,412.09,6,3
arm5,0.1,9,0.7867,0.8229,0.7554,,411.73,6,3
arm5,,0,0.7206,0.5392,0.625,,416.12,6,3
arm5,,0,0.7251,0.5411,0.625,,415.35,6,3
arm5,,0,0.76,0.5823,0.6739,,416.71,6,3
arm5,,0,0.7407,0.6154,0.6576,,415.59,6,3
arm5,,0,0.7479,0.6117,0.6739,,413.18,6,3
arm5,,1,0.7488,0.7969,0.712,,415.59,6,3
arm5,,1,0.7788,0.8033,0.75,,410.5,6,3
arm5,,1,0.7723,0.7893,0.75,,413.23,6,3
arm5,,1,0.756,0.8135,0.7228,,408.18,6,3
arm5,,1,0.823,0.878,0.7989,,406.51,6,3
arm5,,2,0.7757,0.8129,0.7391,,411.14,6,3
arm5,,2,0.7814,0.8372,0.7446,,406.4,6,3
arm5,,2,0.7463,0.7768,0.7228,,405.59,6,3
arm5,,2,0.7793,0.8256,0.7446,,411.77,6,3
arm5,,2,0.761,0.7787,0.7337,,410.84,6,3
arm5,,3,0.7256,0.7629,0.6793,,407.63,6,3
arm5,,3,0.6906,0.7185,0.625,,409.41,6,3
arm5,,3,0.7248,0.7261,0.6739,,406.49,6,3
arm5,,3,0.7671,0.7717,0.7228,,409.04,6,3
arm5,,3,0.7189,0.7338,0.6685,,408.29,6,3
arm5,,4,0.7981,0.824,0.7663,,408.11,6,3
arm5,,4,0.78,0.835,0.7609,,415.69,6,3
arm5,,4,0.8116,0.8491,0.788,,411.82,6,3
arm5,,4,0.7887,0.8312,0.7554,,413.06,6,3
arm5,,4,0.7943,0.8012,0.7663,,407.04,6,3
arm5,,5,0.7343,0.8008,0.7011,,413.88,6,3
arm5,,5,0.7706,0.8192,0.7283,,414.08,6,3
arm5,,5,0.7624,0.8238,0.7391,,418.43,6,3
arm5,,5,0.744,0.7883,0.712,,417.6,6,3
arm5,,5,0.7097,0.7444,0.6576,,417.93,6,3
arm5,,6,0.7225,0.7268,0.6576,,415.87,6,3
arm5,,6,0.7319,0.7029,0.6576,,419.58,6,3
arm5,,6,0.7595,0.7392,0.6902,,418.23,6,3
arm5,,6,0.7658,0.7552,0.7174,,426.95,6,3
arm5,,6,0.7091,0.7044,0.6522,,431.78,6,3
arm5,,7,0.7961,0.853,0.7717,,434.6,6,3
arm5,,7,0.7923,0.849,0.7663,,438.52,6,3
arm5,,7,0.7941,0.8489,0.7717,,516.26,6,3
arm5,,7,0.7773,0.8177,0.7446,,516.09,6,3
arm5,,7,0.7907,0.7699,0.7554,,518.98,6,3
arm5,,8,0.8075,0.8446,0.7772,,515.28,6,3
arm5,,8,0.756,0.7893,0.7228,,509.26,6,3
arm5,,8,0.7636,0.8016,0.7174,,519.21,6,3
arm5,,8,0.8317,0.8528,0.8152,,498.49,6,3
arm5,,8,0.7317,0.7568,0.7011,,518.68,6,3
arm5,,9,0.7685,0.805,0.7283,,509.89,6,3
arm5,,9,0.787,0.8128,0.75,,516.2,6,3
arm5,,9,0.7418,0.7765,0.7011,,503.35,6,3
arm5,,9,0.722,0.7697,0.6902,,510.53,6,3
arm5,,9,0.8137,0.846,0.7935,,461.31,6,3
